Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-17 15:13:27,NSE:ANANTRAJ,625.6,60.76,61.58,-0.81,2026-08-17 15:00,58.29,65.18,-6.89,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 60.76 > 50, but Hourly RSI has not touched 30 (current 58.29)"
2026-08-17 15:13:28,NSE:APARINDS,16524.0,70.1,71.5,-1.4,2026-08-17 15:00,39.46,43.5,-4.03,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 70.10 > 50, but Hourly RSI has not touched 30 (current 39.46)"
2026-08-17 15:13:29,NSE:ARE&M,944.45,60.0,60.26,-0.26,2026-08-17 15:00,42.69,44.56,-1.87,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 60.00 > 50, but Hourly RSI has not touched 30 (current 42.69)"
2026-08-17 15:13:30,NSE:ASTERDM,820.0,60.19,60.6,-0.41,2026-08-17 15:00,35.51,38.99,-3.48,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 60.19 > 50, but Hourly RSI has not touched 30 (current 35.51)"
2026-08-17 15:13:31,NSE:ASTRAMICRO,1710.5,65.53,67.72,-2.19,2026-08-17 15:00,45.18,56.94,-11.76,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 65.53 > 50, but Hourly RSI has not touched 30 (current 45.18)"
2026-08-17 15:13:31,NSE:ATHERENERG,1488.0,78.39,80.74,-2.34,2026-08-17 15:00,38.07,49.75,-11.69,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 78.39 > 50, but Hourly RSI has not touched 30 (current 38.07)"
2026-08-17 15:13:32,NSE:AUROPHARMA,1623.1,67.15,67.08,0.07,2026-08-17 15:00,36.95,36.13,0.81,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 67.15 > 50, but Hourly RSI has not touched 30 (current 36.95)"
2026-08-17 15:13:33,NSE:BAJAJ-AUTO,11706.0,72.14,72.09,0.05,2026-08-17 15:00,51.02,50.25,0.77,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.14 > 50, but Hourly RSI has not touched 30 (current 51.02)"
2026-08-17 15:13:34,NSE:BALKRISIND,2393.0,54.59,53.61,0.98,2026-08-17 15:00,38.2,28.77,9.43,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 54.59 > 50, but Hourly RSI has not touched 30 (current 38.20)"
2026-08-17 15:13:34,NSE:BALRAMCHIN,655.45,73.91,70.01,3.9,2026-08-17 15:00,71.7,52.97,18.73,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 73.91 > 50, but Hourly RSI has not touched 30 (current 71.70)"
2026-08-17 15:13:35,NSE:BASF,4048.0,59.77,60.9,-1.13,2026-08-17 15:00,45.8,46.2,-0.39,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.77 > 50, but Hourly RSI has not touched 30 (current 45.80)"
2026-08-17 15:13:36,NSE:BLUEJET,593.25,59.12,58.18,0.94,2026-08-17 15:00,55.65,44.57,11.08,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.12 > 50, but Hourly RSI has not touched 30 (current 55.65)"
2026-08-17 15:13:37,NSE:BOSCHLTD,46970.0,72.41,72.96,-0.54,2026-08-17 15:00,65.55,68.93,-3.38,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.41 > 50, but Hourly RSI has not touched 30 (current 65.55)"
2026-08-17 15:13:37,NSE:CAPLIPOINT,2516.9,66.69,65.36,1.33,2026-08-17 15:00,50.48,43.22,7.26,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 66.69 > 50, but Hourly RSI has not touched 30 (current 50.48)"
